areaprot,geo\time	2019 	2018 	2017 	2016 	2015 	2014 	2013 	2012 	2011 
MPA_PC,SK	: z	: z	: z	: z	: z	: z	: z	: z	: z
TPA_KM2,AT	12895 	12891 	12701 	12691 	12691 	12616 	12559 	12546 	12548 
TPA_KM2,BE	3891 	3891 	3892 	3887 	3887 	3885 	3883 	3891 	3891 
TPA_KM2,BG	38728 	38222 	38222 	38222 	38222 	38222 	38066 	38084 	38084 
TPA_KM2,CY	1669 	1654 	1653 	1653 	1653 	1629 	1628 	1627 	1627 
TPA_KM2,CZ	11148 	11148 	11148 	11148 	11061 	11061 	11062 	11062 	11062 
TPA_KM2,DE	55228 	55214 	55200 	55200 	55170 	55158 	55142 	55244 	55082 
TPA_KM2,DK	3594 	3616 	3594 	3594 	3594 	3594 	3584 	3632 	3855 
TPA_KM2,EE	8106 	8106 	8106 	8083 	8083 	8078 	8076 	8061 	8059 
TPA_KM2,EL	35982 	35982 	35982 	35747 	35747 	35747 	35761 	36010 	36022 
TPA_KM2,ES	138111 	138016 	137952 	137872 	137757 	137444 	137365 	137664 	137510 
TPA_KM2,EU27_2020	763986 	763244 	762860 s	761740 s	760353 s	761240 s	760529 s	: 	: 
TPA_KM2,EU28	784994 	784252 	783861 s	782729 s	781254 s	782136 s	781413 s	: 	: 
TPA_KM2,FI	42495 	42495 	42495 s	42495 s	42495 s	42495 s	42498 s	42420 s	42414 s
TPA_KM2,FR	70875 	70750 	70625 	70515 	69974 	69418 	69127 	68958 	68955 
TPA_KM2,HR	20716 	20704 	20704 	20704 	20704 	20673 	20675 	: 	: 
TPA_KM2,HU	19949 	19949 	19949 	19949 	19949 	19949 	19950 	19950 	19949 
TPA_KM2,IE	9226 	9229 	9230 	9226 	9227 	9227 	9222 	9259 	9259 
TPA_KM2,IT	57258 	57265 	57265 	57173 	57172 	57172 	57137 	57357 	57756 
TPA_KM2,LT	8136 	8103 	8086 	8086 	7938 	7933 	7890 	7883 	7879 
TPA_KM2,LU	702 	702 	702 	702 	702 	471 	469 	469 	471 
TPA_KM2,LV	7447 	7447 	7447 	7446 	7446 	7446 	7449 	7442 	7447 
TPA_KM2,MT	42 	42 	41 	41 	41 	41 	41 	42 	42 
TPA_KM2,NL	5522 	5522 	5522 	5520 	5518 	5517 	5563 	5739 	5740 
TPA_KM2,PL	61168 	61156 	61165 	61165 	61165 	61165 	61059 	61210 	61043 
TPA_KM2,PT	18968 	19010 	19010 	19010 	19010 	18995 	19010 	19217 	19247 
TPA_KM2,RO	54214 	54214 	54214 	54214 	53781 	53781 	53788 	53942 	54010 
TPA_KM2,SE	55611 	55611 	55647 	55280 	55250 	57407 	57410 	57509 	57124 
TPA_KM2,SI	7672 	7672 	7675 	7675 	7674 	7674 	7673 	7200 	7200 
TPA_KM2,SK	14633 	14633 	14633 	14442 	14442 	14442 	14442 	14448 	14446 
TPA_KM2,UK	21008 	21008 	21001 	20989 	20901 	20896 	20884 	20935 	20934 
TPA_PC,AT	15 	15 	15 	15 	15 	15 	15 	15 	15 
TPA_PC,BE	13 	13 	13 	13 	13 	13 	13 	13 	13 
TPA_PC,BG	35 	34 	34 	34 	34 	34 	34 	34 	34 
TPA_PC,CY	29 	29 	29 	29 	29 	28 	28 	28 	28 
TPA_PC,CZ	14 	14 	14 	14 	14 	14 	14 	14 	14 
